threshold_gamma,num_nonlocal_gates,depth,num_parameters
0.0,260,161,3
0.030296928567337483,280,199,3
0.06059385713467497,300,235,3
0.0899993405266109,336,251,3
0.11940482391854686,372,272,3
0.1471781532916641,392,302,3
0.17495148266478128,412,367,3
0.20204303941423715,556,514,3
0.229134596163693,484,430,3
0.25360444891416456,496,458,3
0.2780743016646361,508,474,3
0.28960347432844563,552,534,3
0.3011326469922552,596,598,3
0.3123613132830037,624,618,3
0.32358997957375224,652,629,3
0.33419886559911843,664,632,3
0.3448077516244847,676,681,3
0.354442462247919,692,696,3
0.3640771728713533,708,678,3
0.3735476037164203,724,721,3
0.38301803456148725,804,815,3
0.3920448791257037,764,784,3
0.4010717236899201,812,865,3
0.41009856825413654,788,791,3
0.4191254128183529,788,791,3
0.4280983706205617,828,857,3
0.4370713284227705,844,896,3
0.4449399820165754,844,896,3
0.45280863561038037,860,909,3
0.46036488380305085,1052,1177,3
0.46792113199572133,1004,1123,3
0.4754773801883918,956,1040,3
0.48303362838106223,976,1127,3
0.49006375149747017,996,1113,3
0.49709387461387816,1124,1309,3
0.5040626061734341,1060,1242,3
0.51103133773299,1188,1408,3
0.5180000692925459,1124,1313,3
0.524968800852102,1236,1461,3
0.5307506417939691,1180,1389,3
0.5365324827358362,1292,1536,3
0.5416595037064312,1236,1465,3
0.5467865246770263,1316,1577,3
0.5519135456476213,1276,1516,3
0.5570405666182163,1288,1567,3
0.5617813225163691,1300,1566,3
0.5665220784145218,1380,1579,3
0.5712581662258146,1340,1588,3
0.5759942540371072,1356,1622,3
0.5803609983827985,1372,1614,3
0.5847277427284897,1420,1727,3
0.589039200221984,1396,1640,3
0.5933506577154782,1476,1789,3
0.5976621152089725,1436,1726,3
0.6019735727024668,1516,1887,3
0.6062543063116097,1476,1723,3
0.6105350399207528,1556,1865,3
0.6148157735298957,1516,1802,3
0.6190965071390386,1596,1992,3
0.6233772407481816,1556,1841,3
0.6276579743573245,1636,1965,3
0.6319387079664675,1596,1891,3
0.6362194415756104,1596,1891,3
0.6404342862113739,1660,2058,3
0.6446491308471373,1756,2171,3
0.6488639754829008,1724,2114,3
0.6530788201186641,1676,2088,3
0.6572936647544276,1740,2013,3
0.6615085093901911,1836,2289,3
0.6657233540259545,1804,2192,3
0.669938198661718,1756,2076,3
0.6737979895480576,1772,2143,3
0.6776577804343972,1788,2173,3
0.6813468325729923,1836,2250,3
0.6850358847115874,1812,2200,3
0.6887083028096657,1844,2224,3
0.6923807209077438,1864,2245,3
0.6958989654782646,1884,2283,3
0.6994172100487853,1884,2283,3
0.7029354546193061,1904,2366,3
0.7064536991898268,1924,2341,3
0.7099381486292344,1932,2351,3
0.713422598068642,1940,2357,3
0.7169070475080496,1948,2454,3
0.7203914969474572,1956,2378,3
0.7238717043580296,1968,2485,3
0.7273519117686019,1980,2321,3
0.7307721981265258,1992,2372,3
0.7341924844844497,2004,2398,3
0.7375233190726563,2016,2435,3
0.7408541536608629,2028,2442,3
0.7441849882490696,2040,2433,3
0.7475158228372762,2052,2413,3
0.7505184541130288,2116,2710,3
0.7535210853887814,2084,2572,3
0.7565237166645339,2148,2672,3
0.7595263479402864,2116,2573,3
0.7625289792160389,2180,2740,3
0.7655316104917915,2244,2615,3
0.768534241767544,2212,2713,3
0.7715368730432965,2180,2513,3
0.7745000001527125,2188,2743,3
0.7774631272621285,2196,2587,3
0.7804262543715444,2204,2676,3
0.7833893814809604,2212,2525,3
0.7863164811675121,2260,2589,3
0.7892435808540638,2236,2587,3
0.7921667861595592,2244,2636,3
0.7950899914650547,2252,2581,3
0.7979381504987892,2300,2659,3
0.8007863095325239,2276,2620,3
0.8035316370793665,2280,2658,3
0.8062769646262089,2284,2795,3
0.8089691405850089,2304,2807,3
