ansatz_name,trotter_steps,threshold_gamma,max_evals,cx_error_prob,energy,optimal_parameters
tVHA,1.0,1.0,10000,5e-06,-1.103802891393,"[1.5838926871634516, 1.0910340493290962, 1.3385734840505945]"
tVHA,1.0,1.0,10000,1e-05,-1.103737065258,"[1.5837984801510567, 1.090896958729134, 1.3383723758708639]"
tVHA,1.0,1.0,10000,2e-05,-1.103605474932,"[1.5836109104043135, 1.090623950775376, 1.3379706099021198]"
tVHA,1.0,1.0,10000,5e-05,-1.103211198973,"[1.5830484106714757, 1.0898051304472889, 1.336765246198116]"
tVHA,1.0,1.0,10000,0.0001,-1.102555718922,"[1.5821116962227442, 1.0884415292054115, 1.3347573485655275]"
tVHA,1.0,1.0,10000,0.0002,-1.101250907081,"[1.580234711322913, 1.0857098248147747, 1.3307394767522407]"
tVHA,1.0,1.0,10000,0.0005,-1.097385136355,"[1.5745907179192424, 1.077498825353769, 1.318683911569742]"
tVHA,1.0,1.0,10000,0.001,-1.091100984759,"[1.5651443282862991, 1.0637661509613459, 1.2985883544501644]"
tVHA,1.0,1.0,10000,0.002,-1.07910341737,"[1.5461355528789529, 1.0361661996374023, 1.2584384989330086]"
tVHA,1.0,1.0,10000,0.005,-1.04722209115,"[1.488870847104679, 0.9532084308248236, 1.1393046809031937]"
tVHA,1.0,1.0,10000,0.01,-1.005234573108,"[1.3972286250547143, 0.8204376931206505, 0.951234212686785]"
tVHA,2.0,0.0,1000,0.0,-1.071502690047,"[8.059482990295503, 6.315011084684432, 2.4594026628644716, 2.3685782653049037, 1.8295588118725894, 2.2619168237916485]"
tVHA,2.0,0.0,2000,0.0,-1.07250661825,"[8.52660284182402, 6.73725178346621, 3.001407702930891, 2.9869036500397703, 1.5815231483641878, 2.6625263564238377]"
tVHA,2.0,0.231191986106,1000,0.0,-1.104566455168,"[6.61686078793121, -4.068361138326937, 0.5681219474868251, 0.8964635212317422, 0.8879513596538203, 1.8804885203996413]"
tVHA,2.0,0.231191986106,2000,0.0,-1.104566455168,"[6.616860668607696, -4.068361248182365, 0.5681223329683811, 0.8964631146101408, 0.8879510630747318, 1.8804887396077588]"
tVHA,2.0,0.231191986106,10000,0.0,-1.104566455168,"[6.616861284751737, -4.068361450448325, 0.56812222947018, 0.8964631534768254, 0.8879504125284741, 1.880489572092113]"
tVHA,2.0,0.231191986106,10000,1e-06,-1.104548488233,"[6.528794328561286, -4.113033279955793, 0.4978755081209726, 0.8223651503757748, 0.7219586880240687, 2.045892174783207]"
tVHA,2.0,0.231191986106,10000,2e-06,-1.104530578297,"[6.651889078612293, -4.095539556340505, 0.5520749421153635, 0.8832086916202048, 0.6105871658969564, 2.1576181375574435]"
