,ansatz_name,trotter_steps,threshold_gamma,max_evals,cx_error_prob,energy,optimal_parameters
0,HEA,,,1000,0.0,-5.18913278602,"[-0.04782185106233486, 0.011734953027325154, 0.0, 0.0, -0.03777427690168391, -0.011121360712170899, 0.0, 0.0, 0.19634954084936207, 0.19634954084936207, 0.19634954084936207, 0.21598449493429828, 0.17671458676442586, 0.19634954084936207, 1.3842642629880024, -0.19634954084936207, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04908738521234052, 0.09817477042468103, -0.15707963267948966, -0.5497787143782138, 0.09817477042468103, -0.09817477042468103, 0.23561944901923448, 0.15707963267948966, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.19634954084936207, 0.19634954084936207, -0.15707963267948966, -0.6304782589147359, 0.19634954084936207, 0.19634954084936207, -0.6678019406633225, -0.2945243112740431, -0.00046978161628997766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15707963267948966, 0.23561944901923448, -1.246819584393449, -0.8246680715673207, 0.0, -0.39269908169872414, 0.09817477042468103, 0.19634954084936207]"
1,HEA,,,5000,0.0,-5.189359731804,"[0.04986069585138283, 0.0002112817919221314, 0.0, 0.0, -0.04985347579240231, -1.6331813365522338e-08, 1.9985962280670553e-08, 1.6020237079208605e-08, 0.19901182449038327, 2.691150597162311, 0.2097466818035161, 0.27894001781016314, 0.18615854199619242, -0.33457747788111636, -0.05699956215490763, 0.5126303692883015, -0.0036999959920702274, -0.001537166333207583, -3.451206803916702e-06, 0.00019579325290347313, 0.0033700402262416334, 0.00162601963515878, 0.0, 0.0, 0.03466992458112619, 0.25642446510461514, 0.3497141032200345, 3.141592653589793, 0.4504117228781084, -0.05829413333592501, 0.7730670365814745, 0.12223613399147543, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14147929717033242, -0.047246456386582744, -0.0540479509166545, 0.16575605965880444, 0.5216346220975875, 0.08375469595051546, 0.20703162789338195, -0.3197851824825061, -3.745070282919037e-09, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12959069696057895, -0.27849159128882217, 0.30826497126931335, 0.22776546738526005, 0.22776546738526005, 0.22452177495203157, 0.216162401984949, -0.02755933773793141]"
2,HEA,,,5000,1e-06,-5.189339209482,"[0.0498407053887228, 0.0, 0.0, 0.00010271156780980082, 0.0499126389260364, 0.0, 0.0, 0.004941295878156716, 0.34505755079904177, 0.09190480772424738, 0.40056271958132317, -0.3441828895709002, 0.9725933140312226, -0.40750245564741305, 1.302195748921513, 0.0008791376154430663, -0.003840757090599661, 0.001961735365540181, -0.0005544818924419393, 0.0, -0.003310411625732562, 0.002004499735001843, 0.0, 1.9024637027648963e-05, 0.13120333411734336, -0.1937388403159745, 1.3459925774166548, -0.3603017251801075, 2.007242531495069, 0.692525707660302, -0.0808270807847091, -0.19744453033536002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.415004205211151, 1.0956163697611125, 0.20533752973994054, -0.47129315225674173, 0.30412058801222486, 0.46365028136110875, -1.0897036910532492, 0.19655667732162801, 6.98266359931381e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.004965529259824729, 1.1550537197910984, -0.6495407096623504, -0.17850566554790548, 0.34629012068240667, -1.2464552258097974, 0.16232766457434017, -0.2843836994872768, 0.06325928503683673]"
3,HEA,,,5000,2e-06,-5.189319597642,"[0.049737930838177104, -7.1303325743266615e-09, 0.0, 0.0, -0.049731525852848284, 0.00021858798099964622, 0.0, 3.8329129670971946e-07, 2.0224801817283957, -0.18563926183529011, 1.6457323366706558, 0.11328247110692376, -0.30731449730112415, 1.0420466231908336, 0.1784439788204063, 0.14527569806255394, 0.003363870792542029, 0.0017663859856109389, 8.816788017154892e-05, -0.0005213405088404637, 0.004036424128029136, 0.0012616688234610189, 0.0013737001872357111, 0.0, 0.09952669703622344, 0.39677648235900154, 0.20423625484818242, -0.5763642268041873, -0.030689211749523323, -0.3946424901900339, -0.38125081134047956, 0.26900472894771243, -4.0595976699663714e-08, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0297988349831857e-08, 0.2931461654419214, -0.9835199438377029, -0.09386761091410753, 0.22212849351174085, 0.11732879570836341, -0.11628912663612942, 1.12575396284298, -0.710461029524777, -1.0148994174915928e-08, 0.0, 0.0, 0.0, 0.0, -0.00020436099941920002, -0.001409034045801688, -4.0595976699663714e-08, 1.8246293902901791, 1.4373448747623254, 0.0713018525815699, -0.18666155538266704, -0.29928795953839293, 0.1932312179187145, -0.03528129659418608, -0.3465359563600453]"
4,HEA,,,5000,5e-06,-5.189259637655,"[-0.04994951343603096, 9.920728216113767e-08, 0.0, 0.0, -0.04988524328601642, 0.0005475257661065897, 0.00019416588011985806, -0.000748925537605167, 2.7439056379000815, 0.8473950495840934, -0.08368589903342236, -0.026662377882710885, -0.7124675459684051, -2.8866649531589808, 0.30478811280346707, 0.011622958606186852, -0.0036279307414382456, -0.0017166182298176496, 8.744813438025332e-06, 0.0, 0.003325125020138265, 0.0016964627119429648, 0.0, 1.8725351414619643e-08, 0.34240629272156725, 0.23236768616304104, -0.1258738642232384, -0.03223021602159423, 0.011972926818823696, -0.005787124690566433, 0.3296775785897256, 3.141592653589793, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.002286592626447575, 0.2939565494370855, 0.18991484544191378, 0.4376836185430257, 0.03189200651271206, 0.00030318766665909805, -0.3396679275345128, -0.0004232302723157867, 0.0043472016093493, 7.490140565847857e-08, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001536874563280143, -0.01627985796860141, -0.02611743765443792, 0.42596688297135676, -0.43503830039972535, 0.3993900009248917, -0.41453466968823743, 0.735243331556549, -0.04329508870121309]"
5,HEA,,,5000,1e-05,-5.189159202821,"[0.04988312605733852, 8.244222287958402e-05, 0.0, 0.0, -0.04973411396429506, -8.449036705016674e-09, 0.0, 3.257901995188625e-06, -0.33386161308349804, 0.2220559839441556, 0.06893414175904017, 0.06270040140818761, 0.6896515821507039, 1.1404002590483082, 0.013476289061341573, -3.141592653589793, -0.0036839408428594013, -0.001878572031414346, 0.0, 0.0, 0.002313222030839626, 0.0015617932182738878, 0.0, 9.474155287168286e-05, 0.13361643396885284, -0.5154964446932511, 0.1143954648599802, 0.5258154516070139, -0.32525060302929676, -0.3929469116348917, -0.358263780923462, -3.141592653589793, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.7081024029819993e-06, 1.3171078118801516, 0.18488755365717016, -0.8250835122760324, 1.490863692381279, -1.2374737100412094, 0.4194683747558229, -1.1869962877567732, -0.07579314109084845, 1.0377609413840694e-08, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.03307805660575154, 0.3355878496126434, 1.2038398564215411, 0.5242950002918345, 1.581196281902339, -1.57012466817031, 0.02331131988235862, -0.03606802508963331]"
6,HEA,,,5000,2e-05,-5.188959948887,"[0.04981395640448692, -8.645313589395134e-09, 0.0, 0.0, -0.049884457641283804, 5.3260301649292636e-05, 9.858849320885519e-09, 0.00022001107371574818, 0.27569554413068825, 0.1538912853316532, 0.3592170379114219, -0.09213317652476644, -0.1638420173436132, -0.9844038733955707, 0.10970337399612975, -0.26048136731897187, -0.003673058176954196, -0.0015292869723525725, 0.0, 0.0, -0.0033872541496095263, -0.0017657220846168957, 0.0, -0.0016997378141837985, 0.17994277095745367, -0.18027148738161908, -0.33403060448283184, 0.17804707104265594, 1.174392392462769, 0.2841436873883142, 0.1403696329834844, 0.509389855078604, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2290337623462806, -0.14475179891217083, 0.30805574530135604, -0.47471681677515, -0.16490293469770653, -0.07694092882348388, 1.4237000779933338, -0.5474711420063987, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0014493421994915632, 0.30950185853303147, -0.2108706722544067, 0.8824688461248882, -0.5874361051826691, -0.05751687359925194, -0.19588286930395218, 1.8244159019733197, 1.3220730948590953]"
7,HEA,,,5000,5e-05,-5.1883593401,"[0.04987050486511849, -7.250456805740398e-05, 0.0, -0.00014806861613242037, -0.049985569075141685, 0.0, 0.0, 1.944996161431746e-05, 0.29433216376285554, -0.9899518509808096, 0.8621657564062635, -0.16698189703385266, -0.17547936178443047, -0.11007619204669145, -0.2906623966526015, 0.3255583653114314, -0.0038903578280172087, -0.0002469611465206082, 0.0, 0.0, 0.0030907191834438213, 0.0018819227936512032, 0.0, 0.0, 0.37761294177947835, -0.22029826150772785, 0.15521273565500177, -0.20737911190446548, 0.8494266341022162, 0.777542974178635, 0.315293128993414, -0.3183388388427972, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.9463691732563787e-05, 0.16974019905882132, 0.5230163481679188, -0.006567517798882396, -0.4169995544489865, 0.25986303702723607, -0.08376605509912485, 1.0100690276803472, 0.7866120078908527, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.018693928308345396, -0.41776704308319523, -0.010305007764609584, 0.20175410782738795, 0.5286659643150201, -2.321554349554698, 0.024934646277774468, 2.263677349993154]"
8,HEA,,,5000,0.0001,-5.187360594905,"[0.04971700748484633, -0.0004916721601744325, 2.324059150617772e-06, 0.0, -0.04969651684499189, -3.1131461291030825e-06, 0.0, 0.0, 0.2746379055545765, 0.9605136320309073, -0.7380501045980076, -1.1137263687649395, 1.177299565157157, 1.6705437629657216, -0.001455461395760063, -0.5207853385650278, -0.003943103798664074, -0.0013042003787901817, 0.0, 0.0, -0.0034978685083990532, 0.0012086391952695385, 4.967242841320374e-05, 0.00019325874000224326, -0.25192085872884035, 0.2746022731188804, 0.8604043941106212, -0.4659359950692965, -0.32139605362880463, -0.08591899045284841, 0.0628777114037249, 0.12787769723757572, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.40492668134433824, -0.14267482879582674, -0.287936318816421, -0.5896776791980358, 0.8897478888178906, -0.8470191707054617, 1.0148111540260487, -0.12304268688083864, -5.0876073767738085e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.00014634121198459007, -0.5748731748659879, -0.4816692285785448, -0.27011245841341275, 0.20375670888862446, 0.268855209687226, 0.2018033473361163, -0.8982397088544125, 0.47405085002183317]"
9,HEA,,,5000,0.0002,-5.185363261611,"[0.049940478484707694, 0.00026218041086647516, 0.0, 0.0, 0.04966076578777691, 0.00017956079920485848, 0.0001111516066185739, 0.0, 0.3889995102585119, 0.13086443361435887, 0.31842354667883493, -0.4387179134176896, -1.301173628272425, -0.14231319920399518, -0.4041047696184605, -0.3979711474507778, -0.0036377249467116745, -0.001556893856854875, 8.998504090507588e-06, 0.0, -0.002675419171309073, 0.0014224453182626639, 0.0, 0.0, 0.5141589713336125, -0.43317613359481244, 0.01801713387357124, -0.5000261368773844, -0.7630647299954174, 0.36280785242144675, -0.09447920684353367, -0.43736416770917885, 1.953836835092118e-08, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.038408645649126744, -0.18870985605944154, 0.07860441137884801, -0.18374615046035808, 1.4312565125584849, -0.6336508820644312, -0.007475002791537077, 0.8279729303159915, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.3950843084531982, 1.4275973892935223, 0.2748893571891069, 1.1120696315082679, -0.13173689880170492, -0.3975119994340909, -0.4172966691539849, -0.11296472023482088]"
