,ansatz_name,trotter_steps,threshold_gamma,max_evals,cx_error_prob,energy,optimal_parameters
33,UCCSD,,,10000,0.02,-1.333373918905,"[4.113741131002387e-08, -1.348285071989914e-08, -0.10913417822061508]"
34,UCCSD,,,10000,0.05,-1.009297606704,"[-1.6573013725331524e-08, -8.201277688539007e-09, -0.10309717003546578]"
35,UCCSD,,,10000,0.1,-0.858269548823,"[1.0739445102419942e-08, -8.65167927083963e-08, -0.0953965665835524]"
36,UCCSDT,,,1000,0.0,-1.84967177332,"[2.6996475187884418e-09, -1.5662356685645086e-09, -0.11335194663937376]"
37,UCCSDT,,,10000,0.0,-1.84967177332,"[1.7125011739231858e-08, -1.6146909724814153e-08, -0.11335196172844739]"
38,UCCSDT,,,10000,1e-06,-1.849635321831,"[-1.1990625674316832e-08, -3.4924599218960293e-09, -0.11335173786144534]"
39,UCCSDT,,,10000,2e-06,-1.849598871692,"[-1.0480788673443635e-08, 2.873677856608459e-09, -0.11335152496482102]"
40,UCCSDT,,,10000,5e-06,-1.849489529371,"[5.706552172585317e-09, 1.9360793778836353e-08, -0.11335089797847575]"
41,UCCSDT,,,10000,1e-05,-1.849307319159,"[-5.762575279732057e-09, 6.614679412877386e-10, -0.1133498267110809]"
42,UCCSDT,,,10000,2e-05,-1.848942999915,"[7.79861474749008e-09, -6.2258990825753245e-09, -0.11334773712772783]"
43,UCCSDT,,,10000,5e-05,-1.847850851178,"[-5.093122632000513e-10, -3.91046870853352e-09, -0.11334138936781096]"
44,UCCSDT,,,10000,0.0001,-1.846033296849,"[-7.44119028880479e-09, 4.4040012150353473e-10, -0.11333082898782328]"
45,UCCSDT,,,10000,0.0002,-1.842408265979,"[2.6753919081556834e-10, 5.863382446434297e-09, -0.11330967589331066]"
46,UCCSDT,,,10000,0.0005,-1.83161333631,"[6.238098266585069e-09, 6.019900468462308e-09, -0.11324630312662448]"
47,UCCSDT,,,10000,0.001,-1.813885961949,"[3.930479304813002e-09, -6.444782396895934e-09, -0.11314066773813572]"
48,UCCSDT,,,10000,0.002,-1.779399521379,"[1.3304624390733147e-08, 1.2996170476002396e-08, -0.11292928729926682]"
49,UCCSDT,,,10000,0.005,-1.683259741982,"[-2.0770051060859914e-09, 1.2970771140715343e-10, -0.11229498395178991]"
50,UCCSDT,,,10000,0.01,-1.544824626104,"[-4.024064075592315e-09, 1.3222395422668069e-08, -0.11123816799824109]"
51,UCCSDT,,,10000,0.02,-1.333373918905,"[4.113741131002387e-08, -1.348285071989914e-08, -0.10913417822061508]"
52,UCCSDT,,,10000,0.05,-1.009297606704,"[-1.6573013725331524e-08, -8.201277688539007e-09, -0.10309717003546578]"
53,UCCSDT,,,10000,0.1,-0.858269548823,"[1.0739445102419942e-08, -8.65167927083963e-08, -0.0953965665835524]"
54,tVHA,1.0,0.0,1000,0.0,-1.829025004799,"[11.472118728143812, 16.96734921074271, 440.8229715025701]"
55,tVHA,1.0,0.0,10000,0.0,-1.829025004799,"[4.849402560662854, 5.708383514992331, 2.6379241385068473]"
56,tVHA,1.0,0.0,10000,1e-06,-1.829017990214,"[0.7545630600676667, 3.417540672218429, 1.7338865988934615]"
57,tVHA,1.0,0.0,10000,2e-06,-1.829010975673,"[0.9999488673070704, 2.6894650805457294, 1.7016615136860451]"
58,tVHA,1.0,0.0,10000,5e-06,-1.828989932316,"[1.0001585113480815, 1.9804796134621585, 2.465583703168368]"
59,tVHA,1.0,0.0,10000,1e-05,-1.82895486094,"[3.356189479188438, 2.3691238725906922, 1.9493537428767793]"
60,tVHA,1.0,0.0,10000,2e-05,-1.828884721508,"[1.0001585113579885, 1.9804796134522515, 2.4655837029630456]"
61,tVHA,1.0,0.0,10000,5e-05,-1.828674329764,"[0.754563059720901, 3.417540672218429, 1.7338865988987495]"
62,tVHA,1.0,0.0,10000,0.0001,-1.82832376535,"[4.411573272209729, 3.7478670806836636, 2.2254165842969478]"
